"Country","Region","Poverty"
"Afghanistan","South Asia",0.387
"Afghanistan","South Asia",0.466
"Afghanistan","South Asia",0.3
"Afghanistan","South Asia",0.301
"Afghanistan","South Asia",0.325
"Afghanistan","South Asia",0.313
"Afghanistan","South Asia",0.319
"Afghanistan","South Asia",0.25
"Afghanistan","South Asia",0.245
"Afghanistan","South Asia",0.384
"Afghanistan","South Asia",0.261
"Afghanistan","South Asia",0.353
"Afghanistan","South Asia",0.293
"Afghanistan","South Asia",0.117
"Afghanistan","South Asia",0.437
"Afghanistan","South Asia",0.28
"Afghanistan","South Asia",0.296
"Afghanistan","South Asia",0.269
"Afghanistan","South Asia",0.294
"Afghanistan","South Asia",0.369
"Afghanistan","South Asia",0.187
"Afghanistan","South Asia",0.287
"Afghanistan","South Asia",0.231
"Afghanistan","South Asia",0.611
"Afghanistan","South Asia",0.137
"Afghanistan","South Asia",0.218
"Afghanistan","South Asia",0.12
"Afghanistan","South Asia",0.294
"Afghanistan","South Asia",0.35
"Afghanistan","South Asia",0.341
"Afghanistan","South Asia",0.361
"Afghanistan","South Asia",0.624
"Afghanistan","South Asia",0.34
"Afghanistan","South Asia",0.175
"Burundi","Sub-Saharan Africa",0.164
"Burundi","Sub-Saharan Africa",0.501
"Burundi","Sub-Saharan Africa",0.473
"Burundi","Sub-Saharan Africa",0.499
"Burundi","Sub-Saharan Africa",0.422
"Benin","Sub-Saharan Africa",0.528
"Benin","Sub-Saharan Africa",0.454
"Benin","Sub-Saharan Africa",0.278
"Benin","Sub-Saharan Africa",0.351
"Benin","Sub-Saharan Africa",0.292
"Benin","Sub-Saharan Africa",0.345
"Benin","Sub-Saharan Africa",0.335
"Benin","Sub-Saharan Africa",0.083
"Benin","Sub-Saharan Africa",0.259
"Benin","Sub-Saharan Africa",0.238
"Benin","Sub-Saharan Africa",0.347
"Benin","Sub-Saharan Africa",0.334
"Burkina Faso","Sub-Saharan Africa",0.591
"Burkina Faso","Sub-Saharan Africa",0.493
"Burkina Faso","Sub-Saharan Africa",0.207
"Burkina Faso","Sub-Saharan Africa",0.58
"Burkina Faso","Sub-Saharan Africa",0.575
"Burkina Faso","Sub-Saharan Africa",0.554
"Burkina Faso","Sub-Saharan Africa",0.513
"Burkina Faso","Sub-Saharan Africa",0.698
"Burkina Faso","Sub-Saharan Africa",0.459
"Burkina Faso","Sub-Saharan Africa",0.581
"Burkina Faso","Sub-Saharan Africa",0.524
"Burkina Faso","Sub-Saharan Africa",0.69
"Burkina Faso","Sub-Saharan Africa",0.655
"Bangladesh","South Asia",0.224
"Bangladesh","South Asia",0.186
"Bangladesh","South Asia",0.174
"Bangladesh","South Asia",0.156
"Bangladesh","South Asia",0.192
"Bangladesh","South Asia",0.206
"Bangladesh","South Asia",0.32
"Belize","Latin America and Caribbean",0.026
"Belize","Latin America and Caribbean",0.019
"Belize","Latin America and Caribbean",0.005
"Belize","Latin America and Caribbean",0.013
"Belize","Latin America and Caribbean",0.019
"Belize","Latin America and Caribbean",0.054
"Belize","Latin America and Caribbean",0.005
"Bolivia, Plurinational State of","Latin America and Caribbean",0.145
"Bolivia, Plurinational State of","Latin America and Caribbean",0.077
"Bolivia, Plurinational State of","Latin America and Caribbean",0.105
"Bolivia, Plurinational State of","Latin America and Caribbean",0.073
"Bolivia, Plurinational State of","Latin America and Caribbean",0.168
"Bolivia, Plurinational State of","Latin America and Caribbean",0.081
"Bolivia, Plurinational State of","Latin America and Caribbean",0.043
"Bolivia, Plurinational State of","Latin America and Caribbean",0.099
"Bolivia, Plurinational State of","Latin America and Caribbean",0.087
"Brazil","Latin America and Caribbean",0.072
"Brazil","Latin America and Caribbean",0.042
"Brazil","Latin America and Caribbean",0.022
"Brazil","Latin America and Caribbean",0.044
"Brazil","Latin America and Caribbean",0.029
"Brazil","Latin America and Caribbean",0.029
"Brazil","Latin America and Caribbean",0.008
"Brazil","Latin America and Caribbean",0.018
"Brazil","Latin America and Caribbean",0.017
"Brazil","Latin America and Caribbean",0.046
"Brazil","Latin America and Caribbean",0.019
"Brazil","Latin America and Caribbean",0.019
"Brazil","Latin America and Caribbean",0.021
"Brazil","Latin America and Caribbean",0.016
"Brazil","Latin America and Caribbean",0.032
"Brazil","Latin America and Caribbean",0.035
"Brazil","Latin America and Caribbean",0.027
"Brazil","Latin America and Caribbean",0.039
"Brazil","Latin America and Caribbean",0.03
"Brazil","Latin America and Caribbean",0.012
"Brazil","Latin America and Caribbean",0.011
"Brazil","Latin America and Caribbean",0.024
"Brazil","Latin America and Caribbean",0.029
"Brazil","Latin America and Caribbean",0.019
"Brazil","Latin America and Caribbean",0.034
"Brazil","Latin America and Caribbean",0.012
"Brazil","Latin America and Caribbean",0.03
"Bhutan","South Asia",0.042
"Bhutan","South Asia",0.121
"Bhutan","South Asia",0.222
"Bhutan","South Asia",0.059
"Bhutan","South Asia",0.151
"Bhutan","South Asia",0.165
"Bhutan","South Asia",0.026
"Bhutan","South Asia",0.128
"Bhutan","South Asia",0.088
"Bhutan","South Asia",0.149
"Bhutan","South Asia",0.197
"Bhutan","South Asia",0.102
"Bhutan","South Asia",0.016
"Bhutan","South Asia",0.132
"Bhutan","South Asia",0.121
"Bhutan","South Asia",0.148
"Bhutan","South Asia",0.196
"Bhutan","South Asia",0.099
"Bhutan","South Asia",0.184
"Central African Republic","Sub-Saharan Africa",0.403
"Central African Republic","Sub-Saharan Africa",0.494
"Central African Republic","Sub-Saharan Africa",0.497
"Central African Republic","Sub-Saharan Africa",0.52
"Central African Republic","Sub-Saharan Africa",0.505
"Central African Republic","Sub-Saharan Africa",0.479
