citricacid,sugar,chlorides,density,sulphates,alcohol,quality
0,1.9,0.076,0.9978,0.56,9.4,5
0,2.6,0.098,0.9968,0.68,9.8,5
0.04,2.3,0.092,0.997,0.65,9.8,5
0.56,1.9,0.075,0.998,0.58,9.8,6
0,1.9,0.076,0.9978,0.56,9.4,5
0,1.8,0.075,0.9978,0.56,9.4,5
0.06,1.6,0.069,0.9964,0.46,9.4,5
0,1.2,0.065,0.9946,0.47,10,7
0.02,2,0.073,0.9968,0.57,9.5,7
0.36,6.1,0.071,0.9978,0.8,10.5,5
0.08,1.8,0.097,0.9959,0.54,9.2,5
0.36,6.1,0.071,0.9978,0.8,10.5,5
0,1.6,0.089,0.9943,0.52,9.9,5
0.29,1.6,0.114,0.9974,1.56,9.1,5
0.18,3.8,0.176,0.9986,0.88,9.2,5
0.19,3.9,0.17,0.9986,0.93,9.2,5
0.56,1.8,0.092,0.9969,0.75,10.5,7
0.28,1.7,0.368,0.9968,1.28,9.3,5
0.08,4.4,0.086,0.9974,0.5,9,4
0.51,1.8,0.341,0.9969,1.08,9.2,6
0.48,1.8,0.077,0.9968,0.53,9.4,6
0.31,2.3,0.082,0.9982,0.65,9.7,5
0.21,1.6,0.106,0.9966,0.91,9.5,5
0.11,2.3,0.084,0.9968,0.53,9.4,5
0.14,2.4,0.085,0.9968,0.63,9.7,6
0.16,1.4,0.08,0.9955,0.56,9.3,5
0.24,1.8,0.08,0.9962,0.59,9.5,5
0.21,1.6,0.106,0.9966,0.91,9.5,5
0,1.9,0.08,0.9972,0.55,9.4,5
0,2,0.082,0.9964,0.59,9.8,6
0.07,2.4,0.089,0.9958,0.54,10.1,5
0,2.5,0.105,0.9966,0.57,10.6,6
0.12,2.3,0.083,0.9966,0.66,9.8,5
0.12,10.7,0.073,0.9993,0.52,9.4,6
0.25,1.8,0.103,0.9957,0.55,9.2,5
0,5.5,0.086,0.9986,0.55,9.6,6
0.14,2.4,0.086,0.9975,0.6,10.8,6
0.28,2.1,0.066,0.9968,0.73,9.7,7
0.09,1.5,0.172,0.994,0.48,9.8,4
