"Restaurant","Country","City","Price","Rating"
"Circus","India","New Delhi",3,"Very Good"
"Shahenshah","India","Noida",2,"Average"
"Pishori Chicken","India","New Delhi",2,"Average"
"Keventers","India","Noida",1,"Average"
"Green Chick Chop","India","New Delhi",1,"Average"
"Wok On Fire","India","Vadodara",3,"Good"
"Saffron Mantra","India","Secunderabad",2,"Very Good"
"Hungry Minister","India","Noida",1,"Good"
"Admission Lounge","India","New Delhi",4,"Average"
"Sadda Taste","India","Noida",1,"Average"
"Zest Bar and Lounge","India","Noida",3,"Average"
"Tiwari Hot Pot","India","Noida",1,"Average"
"Bromfy Public House","India","New Delhi",3,"Average"
"Chinese Express","India","New Delhi",2,"Average"
"Yellow Brick Road - Taj Vivanta","India","New Delhi",4,"Good"
"Da Pizza Bakers","India","New Delhi",2,"Average"
"Fit Bites","India","Noida",2,"Good"
"The Last Mughal (TLM)","India","New Delhi",2,"Very Good"
"Effingut Brewerkz","India","Pune",4,"Very Good"
"IndoCheen","India","New Delhi",2,"Average"
"Sumit Sweets","India","New Delhi",1,"Average"
"Pizzalicious","India","New Delhi",1,"Average"
"Cafe Coffee Day","India","New Delhi",1,"Average"
"Cafe 121","India","New Delhi",2,"Good"
"Club India Cafe & Restaurant","India","New Delhi",2,"Average"
"New Laziz","India","New Delhi",2,"Average"
"Nostalgia at 1911 Brasserie - The Imperial","India","New Delhi",4,"Average"
"Handi","India","Noida",2,"Average"
"Chinese Chilli Seasonal","India","Noida",1,"Average"
"Prem Punjab","India","New Delhi",1,"Average"
"Sai Juice Point","India","New Delhi",1,"Average"
"Barista","India","Noida",2,"Average"
"Aayush Food Plaza","India","New Delhi",1,"Average"
"24/7 Restaurant - The Lalit New Delhi","India","New Delhi",4,"Good"
"Costa Coffee","India","New Delhi",2,"Average"
"Chik Chow","India","New Delhi",2,"Average"
"Snack Chat","India","Noida",2,"Average"
"Nature Hut Cafe","India","New Delhi",2,"Good"
"Sautí©ed Stories","India","Pune",2,"Very Good"
"#Urban Cafí©","India","Noida",2,"Average"
"The Food Truck Cafe","India","New Delhi",2,"Good"
"Lapaalap","India","Noida",1,"Average"
"Boom Food","India","New Delhi",3,"Good"
"KFC","India","Noida",2,"Average"
"CafíÂ Befikre","India","New Delhi",2,"Good"
"Mekong - Hotel GreenPark","India","Vizag",3,"Very Good"
"Papa Buns","India","New Delhi",1,"Good"
"Little Italy","India","Vadodara",3,"Very Good"
"Domino's Pizza","India","Noida",2,"Average"
"Desi Spice","India","Noida",2,"Average"
"The Crust","India","New Delhi",2,"Average"
"DND","India","Noida",1,"Good"
"Domino's Pizza","India","Noida",2,"Average"
"Miam","India","New Delhi",2,"Good"
"Hungry Ullu","India","Noida",2,"Average"
"Bikanervala","India","New Delhi",2,"Average"
"White Heart Restro Bar","India","New Delhi",3,"Average"
"PK Shoppe","India","New Delhi",1,"Average"
"Chaayos","India","Noida",1,"Average"
"Super Cake Shop","India","Noida",1,"Average"
"34, Chowringhee Lane","India","New Delhi",1,"Average"
"Kuppies","India","Noida",1,"Good"
"Baskin Robbins","India","New Delhi",1,"Good"
"Uncle's Punjabi Rasoi","India","Noida",1,"Average"
"Pizza Break","India","New Delhi",2,"Average"
"Chaska","India","New Delhi",1,"Average"
"Behrouz Biryani","India","New Delhi",2,"Good"
"Hari Om Restaurant","India","Noida",1,"Average"
"Sagar Ratna","India","Noida",2,"Average"
"Wheelyz","India","New Delhi",2,"Average"
"Le Petit Cafe - The Lalit New Delhi","India","New Delhi",3,"Average"
"Hot Spot Roll Corner","India","New Delhi",1,"Average"
"Yo! China","India","Noida",3,"Average"
"Lajwaab Restaurant","India","Noida",2,"Average"
"Level 5 - Terrace Restro & Cafe","India","Surat",3,"Good"
"The Chai Story","India","New Delhi",1,"Good"
"Spicy Duck - Taj Palace Hotel","India","New Delhi",4,"Good"
"Madan Da Dhaba","India","New Delhi",1,"Average"
"Pizza Hut","India","Vadodara",2,"Very Good"
"Sita Ram Diwan Chand","India","New Delhi",1,"Very Good"
"El Amigos Kitchen","India","Vadodara",3,"Good"
"Frontier","India","New Delhi",1,"Average"
"Zuka Choco-la","India","Puducherry",2,"Very Good"
"Frontier - The Ashok","India","New Delhi",4,"Good"
"SFC","India","New Delhi",1,"Average"
"Chawla Kitchen","India","New Delhi",2,"Average"
