"record_id","year","month","day","species_id","taxa","variable","value"
30159,2000,1,8,"PP","Rodent","sex","F"
30159,2000,1,8,"PP","Rodent","hindfoot_length","22"
30159,2000,1,8,"PP","Rodent","weight","17"
30160,2000,1,8,"DO","Rodent","sex","M"
30160,2000,1,8,"DO","Rodent","hindfoot_length","35"
30160,2000,1,8,"DO","Rodent","weight","53"
30161,2000,1,8,"PP","Rodent","sex","F"
30161,2000,1,8,"PP","Rodent","hindfoot_length","21"
30161,2000,1,8,"PP","Rodent","weight","17"
30162,2000,1,8,"DM","Rodent","sex","M"
30162,2000,1,8,"DM","Rodent","hindfoot_length","36"
30162,2000,1,8,"DM","Rodent","weight","50"
30163,2000,1,8,"PP","Rodent","sex","M"
30163,2000,1,8,"PP","Rodent","hindfoot_length","20"
30163,2000,1,8,"PP","Rodent","weight","16"
30164,2000,1,8,"PB","Rodent","sex","M"
30164,2000,1,8,"PB","Rodent","hindfoot_length","26"
30164,2000,1,8,"PB","Rodent","weight","27"
30165,2000,1,8,"PP","Rodent","sex","F"
30165,2000,1,8,"PP","Rodent","hindfoot_length","22"
30165,2000,1,8,"PP","Rodent","weight","15"
30166,2000,1,8,"PP","Rodent","sex","M"
30166,2000,1,8,"PP","Rodent","hindfoot_length","23"
30166,2000,1,8,"PP","Rodent","weight","19"
30167,2000,1,8,"DO","Rodent","sex","M"
30167,2000,1,8,"DO","Rodent","hindfoot_length","35"
30167,2000,1,8,"DO","Rodent","weight","41"
30168,2000,1,8,"PB","Rodent","sex","M"
30168,2000,1,8,"PB","Rodent","hindfoot_length","25"
30168,2000,1,8,"PB","Rodent","weight","24"
30169,2000,1,8,"PB","Rodent","sex","F"
30169,2000,1,8,"PB","Rodent","hindfoot_length","25"
30169,2000,1,8,"PB","Rodent","weight","24"
30170,2000,1,8,"PP","Rodent","sex","M"
30170,2000,1,8,"PP","Rodent","hindfoot_length","21"
30170,2000,1,8,"PP","Rodent","weight","17"
30171,2000,1,8,"DO","Rodent","sex","M"
30171,2000,1,8,"DO","Rodent","hindfoot_length","36"
30171,2000,1,8,"DO","Rodent","weight","52"
30172,2000,1,8,"NL","Rodent","sex","F"
30172,2000,1,8,"NL","Rodent","hindfoot_length","30"
30172,2000,1,8,"NL","Rodent","weight","137"
30173,2000,1,8,"DO","Rodent","sex","F"
30173,2000,1,8,"DO","Rodent","hindfoot_length","35"
30173,2000,1,8,"DO","Rodent","weight","54"
30174,2000,1,8,"NL","Rodent","sex","F"
30174,2000,1,8,"NL","Rodent","hindfoot_length","33"
30174,2000,1,8,"NL","Rodent","weight","181"
30175,2000,1,8,"NL","Rodent","sex","M"
30175,2000,1,8,"NL","Rodent","hindfoot_length","34"
30175,2000,1,8,"NL","Rodent","weight","265"
30176,2000,1,8,"PB","Rodent","sex","M"
30176,2000,1,8,"PB","Rodent","hindfoot_length","26"
30176,2000,1,8,"PB","Rodent","weight","27"
30177,2000,1,8,"DO","Rodent","sex","F"
30177,2000,1,8,"DO","Rodent","hindfoot_length","32"
30177,2000,1,8,"DO","Rodent","weight","54"
30178,2000,1,8,"PP","Rodent","sex","M"
30178,2000,1,8,"PP","Rodent","hindfoot_length","24"
