"sp2","sp1","RY1","RY2","avgRY","C.N.x","C.P.x","N.P.x","C.N.y","C.P.y","N.P.y"
2,1,0.004167904,1.13850585,0.571336877,18.57257834,435.5213379,23.44969718,16.43703863,365.5172892,22.23741743
3,1,0.007112204,0.960745579,0.483928892,18.57257834,435.5213379,23.44969718,12.35981769,259.7180315,21.01309566
4,1,0.519281008,1.645109303,1.082195156,18.57257834,435.5213379,23.44969718,10.63961408,161.1779549,15.14885348
5,1,0.0049556,0.912860577,0.458908088,18.57257834,435.5213379,23.44969718,7.129077741,146.6461209,20.57013912
7,1,0.449101255,1.322535211,0.885818233,18.57257834,435.5213379,23.44969718,18.93607573,363.550963,19.19885451
8,1,0.883576608,0.178387101,0.530981854,18.57257834,435.5213379,23.44969718,10.89606389,219.158011,20.11350274
9,1,0.204539282,1.504820215,0.854679749,18.57257834,435.5213379,23.44969718,16.39947869,345.552737,21.07095862
10,1,0.043910128,1.143588532,0.59374933,18.57257834,435.5213379,23.44969718,16.81553094,358.6429684,21.32807877
11,1,0.191188274,0.42174846,0.306468367,18.57257834,435.5213379,23.44969718,15.73479667,417.7917454,26.55209051
13,1,0.566499546,0.354811292,0.460655419,18.57257834,435.5213379,23.44969718,10.65688047,147.8190613,13.87076281
14,1,0.143032727,1.266686621,0.704859674,18.57257834,435.5213379,23.44969718,10.48141977,223.5869273,21.33174056
17,1,0.007949608,1.044805882,0.526377745,18.57257834,435.5213379,23.44969718,11.88829523,241.3359752,20.3003013
18,1,0.163837282,0.887193554,0.525515418,18.57257834,435.5213379,23.44969718,16.59826025,357.8954255,21.5622252
19,1,1.280196682,0,0.640098341,18.57257834,435.5213379,23.44969718,10.54359178,226.1846117,21.45233014
20,1,0.043754802,0.978758992,0.511256897,18.57257834,435.5213379,23.44969718,14.15488391,326.1858809,23.04405201
21,1,0.08225441,0.918535684,0.500395047,18.57257834,435.5213379,23.44969718,11.10118558,244.5458626,22.02880592
23,1,0.262119124,0.401605652,0.331862388,18.57257834,435.5213379,23.44969718,8.438645333,126.1576931,14.94999353
3,2,0.739350695,0.113597609,0.426474152,16.43703863,365.5172892,22.23741743,12.35981769,259.7180315,21.01309566
7,2,0.704107217,0.06971831,0.386912763,16.43703863,365.5172892,22.23741743,18.93607573,363.550963,19.19885451
14,2,1.249262747,0.168875871,0.709069309,16.43703863,365.5172892,22.23741743,10.48141977,223.5869273,21.33174056
17,2,0.808653223,0.309808744,0.559230983,16.43703863,365.5172892,22.23741743,11.88829523,241.3359752,20.3003013
18,2,0.835687821,0.330618893,0.583153357,16.43703863,365.5172892,22.23741743,16.59826025,357.8954255,21.5622252
19,2,1.509799572,0.021273186,0.765536379,16.43703863,365.5172892,22.23741743,10.54359178,226.1846117,21.45233014
21,2,1.123621233,0.187677232,0.655649233,16.43703863,365.5172892,22.23741743,11.10118558,244.5458626,22.02880592
22,2,0.931506814,0.131605184,0.531555999,16.43703863,365.5172892,22.23741743,8.950205191,206.7171231,23.09635574
23,2,0.942527132,0.052344252,0.497435692,16.43703863,365.5172892,22.23741743,8.438645333,126.1576931,14.94999353
5,3,0.898026283,0.022878711,0.460452497,12.35981769,259.7180315,21.01309566,7.129077741,146.6461209,20.57013912
7,3,0.919097983,0.058314801,0.488706392,12.35981769,259.7180315,21.01309566,18.93607573,363.550963,19.19885451
9,3,0.636502626,0.227981405,0.432242015,12.35981769,259.7180315,21.01309566,16.39947869,345.552737,21.07095862
10,3,0.829901339,0.347282609,0.588591974,12.35981769,259.7180315,21.01309566,16.81553094,358.6429684,21.32807877
11,3,0.857041557,0.321070062,0.58905581,12.35981769,259.7180315,21.01309566,15.73479667,417.7917454,26.55209051
17,3,0.113828498,0.733485671,0.423657085,12.35981769,259.7180315,21.01309566,11.88829523,241.3359752,20.3003013
18,3,1.013920635,0.069489685,0.54170516,12.35981769,259.7180315,21.01309566,16.59826025,357.8954255,21.5622252
19,3,0.980685442,0.012097096,0.496391269,12.35981769,259.7180315,21.01309566,10.54359178,226.1846117,21.45233014
20,3,0.946524999,0.03532254,0.490923769,12.35981769,259.7180315,21.01309566,14.15488391,326.1858809,23.04405201
21,3,0.779570274,0.121211378,0.450390826,12.35981769,259.7180315,21.01309566,11.10118558,244.5458626,22.02880592
22,3,0.619873938,0.082471883,0.35117291,12.35981769,259.7180315,21.01309566,8.950205191,206.7171231,23.09635574
23,3,1.119821422,0.008066795,0.563944109,12.35981769,259.7180315,21.01309566,8.438645333,126.1576931,14.94999353
7,4,1.147975652,0.110160966,0.629068309,10.63961408,161.1779549,15.14885348,18.93607573,363.550963,19.19885451
8,4,0.68953781,0.135125451,0.41233163,10.63961408,161.1779549,15.14885348,10.89606389,219.158011,20.11350274
